"","Date","Latitude","Longitude","Acres","County","AgencyCode","Source","DDLat","DDLon","ORIG_OID"
"30",2018-04-21,22.092639,-159.306585,0.01,"Kauai","2018_KA_1802031"," ","22.09263900N","159.30658500W",1715
"31",2020-08-08,22.092509,-159.306534,0.03,"Kauai","2020_KA_2003542"," ","22.09250900N","159.30653400W",1716
"32",2010-01-14,22.0934086,-159.3065338,0.1,"Kauai","KA808","Kauai County","22.09340860N","159.30653380W",1717
"33",2005-12-30,22.0968304,-159.3065033,0.1,"Kauai","KA16","Kauai County","22.09683040N","159.30650330W",1718
"34",2010-03-11,22.1501713,-159.306488,0.1,"Kauai","KA810","Kauai County","22.15017130N","159.30648800W",1719
"35",2020-09-25,22.1550606,-159.3064768,0.01,"Kauai","2020_KA_2004267"," ","22.15506060N","159.30647685W",1720
"36",2005-06-15,22.1321392,-159.3064728,10,"Kauai","XX114","DOFAW","22.13213920N","159.30647280W",1721
"37",2020-09-06,22.15061,-159.306448,0.01,"Kauai","2020_KA_2003969"," ","22.15061000N","159.30644800W",1722
"38",2009-12-12,22.0908756,-159.3064423,0.1,"Kauai","KA811","Kauai County","22.09087560N","159.30644230W",1723
"39",2010-09-26,22.1480255,-159.306427,0.1,"Kauai","KA812","Kauai County","22.14802550N","159.30642700W",1724
"40",2019-06-14,22.094339,-159.306403,0.01,"Kauai","2019_KA_1903083"," ","22.09433900N","159.30640300W",1725
"41",2020-07-18,22.092211,-159.306348,0.02,"Kauai","2020_KA_2003229"," ","22.09221100N","159.30634800W",1726
"42",2019-04-25,22.150383,-159.306325,0.01,"Kauai","2019_KA_1902141"," ","22.15038300N","159.30632500W",1727
"43",2009-12-18,22.1501369,-159.3063049,0.1,"Kauai","KA814","Kauai County","22.15013690N","159.30630490W",1729
"44",2016-11-30,22.153575,-159.30625,0.1,"Kauai","2016_KA_1605451"," ","22.15357500N","159.30625000W",1730
"45",2020-09-14,22.150434,-159.306249,0.01,"Kauai","2020_KA_2004121"," ","22.15043400N","159.30624900W",1731
"46",2009-12-24,22.1502838,-159.3062439,0.01,"Kauai","KA815","Kauai County","22.15028380N","159.30624390W",1732
"47",2014-07-04,22.15066856,-159.3061382,0.1,"Kauai","2014_KA_1402946"," ","22.15066856N","159.30613822W",1734
"48",2014-07-05,22.15066856,-159.3061382,0.1,"Kauai","2014_KA_1402959"," ","22.15066856N","159.30613822W",1735
"49",2005-06-14,22.1360207,-159.3061218,20,"Kauai","XX113","DOFAW","22.13602070N","159.30612180W",1736
"50",2018-08-15,22.090733,-159.306119,0.01,"Kauai","2018_KA_1804008"," ","22.09073300N","159.30611900W",1737
"51",2010-03-27,22.151619,-159.3060913,0.1,"Kauai","KA817","Kauai County","22.15161900N","159.30609130W",1739
"52",2010-03-30,22.151619,-159.3060913,0.01,"Kauai","KA818","Kauai County","22.15161900N","159.30609130W",1740
"53",2019-05-17,22.090569,-159.306081,0.1,"Kauai","2019_KA_1902575"," ","22.09056900N","159.30608100W",1741
"54",2018-04-30,22.150799,-159.306076,0.01,"Kauai","2018_KA_1802173"," ","22.15079900N","159.30607600W",1742
"55",2005-12-20,22.154747,-159.3060455,0.1,"Kauai","KA302","Kauai County","22.15474700N","159.30604550W",1743
"56",2005-07-01,22.0899086,-159.306015,0.1,"Kauai","KA303","Kauai County","22.08990860N","159.30601500W",1744
"57",2018-05-13,22.090583,-159.305996,0.01,"Kauai","2018_KA_1802390"," ","22.09058300N","159.30599600W",1745
"58",2010-03-19,22.1454868,-159.3059692,0.01,"Kauai","KA819","Kauai County","22.14548680N","159.30596920W",1746
"59",2019-06-03,22.090603,-159.305952,0.01,"Kauai","2019_KA_1902884"," ","22.09060300N","159.30595200W",1747
"60",2020-02-20,22.096599,-159.305922,0.01,"Kauai","2020_KA_2001011"," ","22.09659900N","159.30592200W",1748
"61",2001-06-15,22.1322193,-159.3058929,6,"Kauai","XX71","DOFAW","22.13221930N","159.30589290W",1749
"62",2018-10-15,22.090569,-159.305861,0.01,"Kauai","2018_KA_1805039"," ","22.09056900N","159.30586100W",1750
"63",2010-02-22,22.1328812,-159.3058167,0.1,"Kauai","KA304","Kauai County","22.13288120N","159.30581670W",1751
"64",2006-07-13,22.147562,-159.3054047,0.1,"Kauai","KA305","Kauai County","22.14756200N","159.30540470W",1753
"65",2014-11-25,22.13603932,-159.3052493,0.1,"Kauai","2014_KA_1405211"," ","22.13603932N","159.30524928W",1754
"66",2019-05-20,22.09837634,-159.3051472,0.05,"Kauai","2019_KA_1902612"," ","22.09837634N","159.30514724W",1755
"67",2014-03-12,22.14427842,-159.3048976,0.01,"Kauai","2014_KA_1401206"," ","22.14427842N","159.30489765W",1756
"68",2004-03-10,22.1350498,-159.3048553,6,"Kauai","XX103","DOFAW","22.13504980N","159.30485530W",1757
"69",2010-11-16,22.0996647,-159.3044739,0.1,"Kauai","KA820","Kauai County","22.09966470N","159.30447390W",1758
"70",2012-11-10,22.14505662,-159.3041584,0.1,"Kauai","2012_KA_1204672"," ","22.14505662N","159.30415844W",1759
"71",2008-10-12,22.1335831,-159.3041229,0.1,"Kauai","KA306","Kauai County","22.13358310N","159.30412290W",1760
"72",2020-05-06,22.102503,-159.304028,0.01,"Kauai","2020_KA_2002154"," ","22.10250300N","159.30402800W",1761
"73",2006-12-11,22.1006699,-159.3039093,0.1,"Kauai","KA308","Kauai County","22.10066990N","159.30390930W",1762
"74",2018-05-27,22.124358,-159.303865,0.25,"Kauai","2018_KA_1802597"," ","22.12435800N","159.30386500W",1763
"75",2010-10-10,22.1404533,-159.3036194,0.01,"Kauai","KA309","Kauai County","22.14045330N","159.30361940W",1764
"76",2012-09-19,22.134286,-159.303389,0.1,"Kauai","2012_KA_1203922"," ","22.13428600N","159.30338900W",1765
"77",2020-07-06,22.125327,-159.303369,0.75,"Kauai","2020_KA_2003043"," ","22.12532700N","159.30336900W",1766
"78",2006-07-03,22.10993,-159.30336,0.1,"Kauai","KA17","Kauai County","22.10993000N","159.30336000W",1767
"79",2009-10-26,22.1001148,-159.3033295,0.1,"Kauai","KA823","Kauai County","22.10011480N","159.30332950W",1768
"80",2010-04-10,22.1000118,-159.303299,0.1,"Kauai","KA824","Kauai County","22.10001180N","159.30329900W",1769
"81",2010-02-03,22.0999832,-159.303009,0.01,"Kauai","KA825","Kauai County","22.09998320N","159.30300900W",1770
"82",2010-02-03,22.0999832,-159.3029175,0.1,"Kauai","KA826","Kauai County","22.09998320N","159.30291750W",1771
"83",2009-06-02,22.1453781,-159.3029022,0.01,"Kauai","KA310","Kauai County","22.14537810N","159.30290220W",1772
"84",2018-02-08,22.124414,-159.30276,0.01,"Kauai","2018_KA_1800711"," ","22.12441400N","159.30276000W",1774
"85",2020-09-14,22.124158,-159.302707,2.5,"Kauai","2020_KA_2004105"," ","22.12415800N","159.30270700W",1775
"86",2020-06-13,22.099937,-159.302585,0.01,"Kauai","2020_KA_2002703"," ","22.09993700N","159.30258500W",1776
"87",2008-03-23,22.1460285,-159.3025818,0.1,"Kauai","KA828","Kauai County","22.14602850N","159.30258180W",1777
"88",2020-08-07,22.099981,-159.302524,0.01,"Kauai","2020_KA_2003537"," ","22.09998100N","159.30252400W",1778
"89",2020-09-01,22.099985,-159.302502,0.01,"Kauai","2020_KA_2003895"," ","22.09998500N","159.30250200W",1779
"90",2020-08-07,22.10003,-159.302446,0.2,"Kauai","2020_KA_2003525"," ","22.10003000N","159.30244600W",1780
"91",2020-07-18,22.14539787,-159.3024345,0.02,"Kauai","2020_KA_2003227"," ","22.14539787N","159.30243454W",1781
"92",2020-08-10,22.14539787,-159.3024345,0.01,"Kauai","2020_KA_2003565"," ","22.14539787N","159.30243454W",1782
"93",2020-08-21,22.14539787,-159.3024345,0.01,"Kauai","2020_KA_2003739"," ","22.14539787N","159.30243454W",1783
"94",2020-08-29,22.14539787,-159.3024345,0.01,"Kauai","2020_KA_2003845"," ","22.14539787N","159.30243454W",1784
"95",2020-01-22,22.099896,-159.302418,0.01,"Kauai","2020_KA_2000437"," ","22.09989600N","159.30241800W",1785
"96",2018-09-15,22.131646,-159.302284,0.1,"Kauai","2018_KA_1804540"," ","22.13164600N","159.30228400W",1786
"97",2014-04-28,22.14625647,-159.3022115,0.01,"Kauai","2014_KA_1401929"," ","22.14625647N","159.30221146W",1787
"98",2020-11-26,22.14548731,-159.3021985,0.05,"Kauai","2020_KA_2005180"," ","22.14548731N","159.30219850W",1788
"99",2020-12-10,22.14548731,-159.3021985,0.01,"Kauai","2020_KA_2005404"," ","22.14548731N","159.30219850W",1789
"100",2020-01-06,22.146206,-159.301493,0.01,"Kauai","2020_KA_2000128"," ","22.14620600N","159.30149300W",1790
"101",2006-10-04,22.1455975,-159.3013763,0.1,"Kauai","KA293","Kauai County","22.14559750N","159.30137630W",1791
"102",2020-10-01,22.128651,-159.301289,6,"Kauai","2020_KA_2004344"," ","22.12865100N","159.30128900W",1792
"103",2019-05-14,22.131947,-159.301204,0.25,"Kauai","2019_KA_1902500"," ","22.13194700N","159.30120400W",1793
"104",2010-07-02,22.1459827,-159.3010864,0.01,"Kauai","KA831","Kauai County","22.14598270N","159.30108640W",1794
"105",2018-06-24,22.140111,-159.30106,0.15,"Kauai","2018_KA_1803064"," ","22.14011100N","159.30106000W",1795
"106",2009-02-02,22.1462631,-159.3010559,0.1,"Kauai","KA832","Kauai County","22.14626310N","159.30105590W",1796
"107",2019-04-20,22.121985,-159.300973,3,"Kauai","2019_KA_1902048"," ","22.12198500N","159.30097300W",1797
"108",2020-05-09,22.145857,-159.300958,0.01,"Kauai","2020_KA_2002203"," ","22.14585700N","159.30095800W",1798
"109",2016-10-29,22.111895,-159.300857,0.2,"Kauai","2016_KA_1604928"," ","22.11189500N","159.30085700W",1799
"110",2008-06-08,22.1460743,-159.3005981,0.1,"Kauai","KA833","Kauai County","22.14607430N","159.30059810W",1800
"111",2011-03-10,22.1460495,-159.3005829,0.01,"Kauai","KA834","Kauai County","22.14604950N","159.30058290W",1801
"112",2020-04-29,22.146017,-159.300499,0.1,"Kauai","2020_KA_2002069"," ","22.14601700N","159.30049900W",1802
"113",2018-04-03,22.116814,-159.300441,0.01,"Kauai","2018_KA_1801694"," ","22.11681400N","159.30044100W",1803
"114",2016-09-21,22.141474,-159.300277,0.3,"Kauai","2016_KA_1604321"," ","22.14147400N","159.30027700W",1804
"115",2017-02-01,22.130062,-159.3001508,0.25,"Kauai","2017_KA_1700617"," ","22.13006200N","159.30015078W",1805
"116",2015-07-01,22.13003819,-159.3001311,0.01,"Kauai","2015_KA_1503052"," ","22.13003819N","159.30013108W",1808
"117",2017-02-26,22.13006986,-159.3001018,0.15,"Kauai","2017_KA_1701116"," ","22.13006986N","159.30010183W",1812
"118",2017-01-20,22.13014425,-159.3000638,0.05,"Kauai","2017_KA_1700389"," ","22.13014425N","159.30006380W",1821
"119",2017-08-29,22.13015694,-159.3000634,0.01,"Kauai","2017_KA_1704389"," ","22.13015694N","159.30006336W",1823
"120",2012-03-21,22.13013556,-159.300041,0.1,"Kauai","2012_KA_1201252"," ","22.13013556N","159.30004097W",1829
"121",2012-07-18,22.13004522,-159.3000388,0.3,"Kauai","2012_KA_1203015"," ","22.13004522N","159.30003878W",1830
"122",2013-06-20,22.13013036,-159.3000365,0.1,"Kauai","2013_KA_1302704"," ","22.13013036N","159.30003653W",1831
"123",2017-01-28,22.11015317,-159.3000334,0.2,"Kauai","2017_KA_1700543"," ","22.11015317N","159.30003344W",1832
"124",2017-07-03,22.13012703,-159.3000274,0.1,"Kauai","2017_KA_1703415"," ","22.13012703N","159.30002744W",1833
"125",2012-03-13,22.130133,-159.3000231,0.01,"Kauai","2012_KA_1201123"," ","22.13013300N","159.30002308W",1834
"126",2017-08-29,22.13012878,-159.3000222,0.01,"Kauai","2017_KA_1704385"," ","22.13012878N","159.30002219W",1835
"127",2017-05-17,22.13010167,-159.300021,0.5,"Kauai","2017_KA_1702506"," ","22.13010167N","159.30002103W",1836
"128",2012-02-01,22.13012772,-159.3000144,0.01,"Kauai","2012_KA_1200470"," ","22.13012772N","159.30001436W",1837
"129",2016-01-01,22.11010547,-159.3000102,0.1,"Kauai","2016_KA_1600036"," ","22.11010547N","159.30001019W",1838
"130",2012-05-25,22.11003803,-159.3000053,0.01,"Kauai","2012_KA_1202222"," ","22.11003803N","159.30000528W",1839
"131",2007-10-15,22.1450672,-159.2999268,0.1,"Kauai","KA836","Kauai County","22.14506720N","159.29992680W",1840
"132",2004-02-13,22.1374893,-159.2996674,10,"Kauai","XX100","DOFAW","22.13748930N","159.29966740W",1841
"133",2018-05-29,22.131772,-159.299651,0.01,"Kauai","2018_KA_1802628"," ","22.13177200N","159.29965100W",1842
"134",2019-04-27,22.132487,-159.299509,2,"Kauai","2019_KA_1902173"," ","22.13248700N","159.29950900W",1843
"135",2014-12-22,22.142279,-159.299355,0.1,"Kauai","2014_KA_1405629"," ","22.14227900N","159.29935500W",1844
"136",2019-12-09,22.14609387,-159.2993054,0.01,"Kauai","2019_KA_1906359"," ","22.14609387N","159.29930536W",1845
"137",2020-01-29,22.14609387,-159.2993054,0.01,"Kauai","2020_KA_2000538"," ","22.14609387N","159.29930536W",1846
"138",2018-06-22,22.141724,-159.299065,0.01,"Kauai","2018_KA_1803036"," ","22.14172400N","159.29906500W",1847
"139",2015-05-30,22.142408,-159.298947,0.25,"Kauai","2015_KA_1502545"," ","22.14240800N","159.29894700W",1848
"140",2014-08-24,22.14581922,-159.2988855,0.01,"Kauai","2014_KA_1403760"," ","22.14581922N","159.29888552W",1850
"141",2020-05-29,22.146172,-159.298651,0.01,"Kauai","2020_KA_2002483"," ","22.14617200N","159.29865100W",1852
"142",2014-12-21,22.143159,-159.29841,10,"Kauai","2014_KA_1405610"," ","22.14315900N","159.29841000W",1853
"143",2020-04-18,22.146159,-159.2983,0.01,"Kauai","2020_KA_2001911"," ","22.14615900N","159.29830000W",1854
"144",2018-12-31,22.143009,-159.298267,0.1,"Kauai","2019_KA_1900001"," ","22.14300900N","159.29826700W",1855
"145",2019-03-01,22.143289,-159.298244,1,"Kauai","2019_KA_1901114"," ","22.14328900N","159.29824400W",1856
"146",2008-07-18,22.1411781,-159.2982178,40,"Kauai","KA837","Kauai County","22.14117810N","159.29821780W",1857
"147",2015-03-16,22.140702,-159.298196,10,"Kauai","2015_KA_1501310"," ","22.14070200N","159.29819600W",1858
"148",2014-06-05,22.140713,-159.298174,0.1,"Kauai","2014_KA_1402527"," ","22.14071300N","159.29817400W",1859
"149",2010-06-22,22.1442528,-159.2981415,0.04,"Kauai","KA838","Kauai County","22.14425280N","159.29814150W",1860
"150",2010-07-10,22.1444645,-159.2981262,0.75,"Kauai","KA839","Kauai County","22.14446450N","159.29812620W",1861
"151",2010-07-10,22.1444645,-159.2981262,0.01,"Kauai","KA840","Kauai County","22.14446450N","159.29812620W",1862
"152",2009-09-26,22.1462116,-159.298111,0.1,"Kauai","KA841","Kauai County","22.14621160N","159.29811100W",1863
"153",2020-06-15,22.14257,-159.29772,0.01,"Kauai","2020_KA_2002737"," ","22.14257000N","159.29772000W",1864
"154",2006-01-03,22.1415119,-159.2977142,2,"Kauai","KA311","Kauai County","22.14151190N","159.29771420W",1865
"155",2015-05-05,22.14025265,-159.2973986,2,"Kauai","2015_KA_1502140"," ","22.14025265N","159.29739860W",1866
"156",2020-03-09,22.1366,-159.297343,3,"Kauai","2020_KA_2001351"," ","22.13660000N","159.29734300W",1867
"157",2020-07-01,22.143061,-159.29734,5,"Kauai","2020_KA_2002975"," ","22.14306100N","159.29734000W",1868
"158",2020-07-02,22.143061,-159.29734,0.01,"Kauai","2020_KA_2002977"," ","22.14306100N","159.29734000W",1869
"159",2020-05-03,22.1422,-159.29725,40,"Kauai","2020_KA_2002117"," ","22.14220000N","159.29725000W",1870
"160",2005-04-30,22.1351833,-159.2970276,1,"Kauai","KA312","Kauai County","22.13518330N","159.29702760W",1871
"161",2019-02-28,22.107969,-159.297006,0.01,"Kauai","2019_KA_1901104"," ","22.10796900N","159.29700600W",1872
"162",2019-03-03,22.107347,-159.296993,0.1,"Kauai","2019_KA_1901153"," ","22.10734700N","159.29699300W",1873
"163",2019-08-24,22.144778,-159.296965,22,"Kauai","2019_KA_1904466"," ","22.14477800N","159.29696500W",1874
"164",2019-08-25,22.144778,-159.296965,0.01,"Kauai","2019_KA_1904468"," ","22.14477800N","159.29696500W",1875
"165",2019-07-16,22.147451,-159.296954,0.1,"Kauai","2019_KA_1903713"," ","22.14745100N","159.29695400W",1876
"166",2001-06-22,22.1323395,-159.2969208,40,"Kauai","XX75","DOFAW","22.13233950N","159.29692080W",1877
"167",2001-05-31,22.1454697,-159.2966614,0.5,"Kauai","XX69","DOFAW","22.14546970N","159.29666140W",1878
"168",2001-06-17,22.1454697,-159.2966614,0.5,"Kauai","XX72","DOFAW","22.14546970N","159.29666140W",1879
"169",2001-05-31,22.1454697,-159.2966614,0.1,"Kauai","XX70","DOFAW","22.14546970N","159.29666140W",1880
"170",2001-06-19,22.1456795,-159.2963867,0.1,"Kauai","XX74","DOFAW","22.14567950N","159.29638670W",1881
"171",2020-10-06,22.131365,-159.296374,1,"Kauai","2020_KA_2004415"," ","22.13136500N","159.29637400W",1882
"172",2005-04-17,22.1466827,-159.2963715,1,"Kauai","KA313","Kauai County","22.14668270N","159.29637150W",1883
"173",2020-10-04,22.132338,-159.296119,0.02,"Kauai","2020_KA_2004380"," ","22.13233800N","159.29611900W",1884
"174",2001-06-19,22.1417809,-159.2960358,7,"Kauai","XX73","DOFAW","22.14178090N","159.29603580W",1885
"175",2019-05-19,22.145743,-159.295873,0.1,"Kauai","2019_KA_1902602"," ","22.14574300N","159.29587300W",1886
"176",2020-10-04,22.13132,-159.295683,2,"Kauai","2020_KA_2004385"," ","22.13132000N","159.29568300W",1888
"177",2018-03-03,22.144205,-159.295612,0.01,"Kauai","2018_KA_1801146"," ","22.14420500N","159.29561200W",1889
"178",2008-09-17,22.1223564,-159.2954559,0.1,"Kauai","KA844","Kauai County","22.12235640N","159.29545590W",1890
"179",2020-10-03,22.123519,-159.295245,2,"Kauai","2020_KA_2004370"," ","22.12351900N","159.29524500W",1892
"180",2020-10-02,22.132818,-159.295106,8,"Kauai","2020_KA_2004357"," ","22.13281800N","159.29510600W",1893
"181",2006-12-12,22.1466255,-159.2950592,0.2,"Kauai","KA1","Kauai County","22.14662550N","159.29505920W",1894
"182",2009-07-12,22.1329136,-159.2949524,0.1,"Kauai","KA846","Kauai County","22.13291360N","159.29495240W",1895
"183",2018-06-24,22.132293,-159.294796,0.01,"Kauai","2018_KA_1803059"," ","22.13229300N","159.29479600W",1896
"184",2016-10-30,22.124727,-159.294355,0.15,"Kauai","2016_KA_1604952"," ","22.12472700N","159.29435500W",1897
"185",2020-10-04,22.124141,-159.29427,0.5,"Kauai","2020_KA_2004388"," ","22.12414100N","159.29427000W",1898
"186",2010-09-04,22.1420631,-159.2941284,0.05,"Kauai","KA847","Kauai County","22.14206310N","159.29412840W",1899
"187",2020-06-22,22.13997,-159.29406,1,"Kauai","2020_KA_2002846"," ","22.13997000N","159.29406000W",1900
"188",2020-10-05,22.126195,-159.293968,0.01,"Kauai","2020_KA_2004392"," ","22.12619500N","159.29396800W",1901
"189",2019-03-21,22.142259,-159.293853,0.5,"Kauai","2019_KA_1901492"," ","22.14225900N","159.29385300W",1902
"190",2011-08-01,22.2152939,-159.5307617,0.01,"Kauai","KA496","Kauai County","22.21529390N","159.53076170W",566
"191",2007-01-16,22.2152939,-159.5307007,0.1,"Kauai","KA497","Kauai County","22.21529390N","159.53070070W",567
"192",2015-02-12,22.21003536,-159.5301119,0.01,"Kauai","2015_KA_1500792"," ","22.21003536N","159.53011189W",568
"193",2015-04-15,21.90009525,-159.5300429,0.25,"Kauai","2015_KA_1501821"," ","21.90009525N","159.53004292W",569
"194",2012-07-26,21.90012506,-159.5300383,0.15,"Kauai","2012_KA_1203132"," ","21.90012506N","159.53003833W",570
"195",2017-04-16,21.91000597,-159.5300158,0.01,"Kauai","2017_KA_1701896"," ","21.91000597N","159.53001583W",571
"196",2016-01-04,21.90008919,-159.5300125,0.2,"Kauai","2016_KA_1600081"," ","21.90008919N","159.53001253W",572
"197",2017-08-16,21.91014844,-159.5300114,0.01,"Kauai","2017_KA_1704179"," ","21.91014844N","159.53001136W",573
"198",2012-06-09,22.20016111,-159.5300056,4,"Kauai","2012_KA_1202448"," ","22.20016111N","159.53000555W",574
"199",2012-06-13,22.20016269,-159.5300024,0.1,"Kauai","2012_KA_1202512"," ","22.20016269N","159.53000239W",575
"200",2012-06-12,22.20016619,-159.5300013,0.2,"Kauai","2012_KA_1202501"," ","22.20016619N","159.53000125W",576
"201",2010-06-20,22.215044,-159.5290222,0.01,"Kauai","KA498","Kauai County","22.21504400N","159.52902220W",577
"202",2010-06-04,22.2150059,-159.5289764,0.1,"Kauai","KA499","Kauai County","22.21500590N","159.52897640W",578
"203",2010-08-04,22.2150612,-159.5287781,0.01,"Kauai","KA501","Kauai County","22.21506120N","159.52877810W",580
"204",2010-06-21,22.2151241,-159.5286407,0.01,"Kauai","KA502","Kauai County","22.21512410N","159.52864070W",581
"205",2010-01-08,21.9212704,-159.5281372,0.01,"Kauai","KA99","Kauai County","21.92127040N","159.52813720W",582
"206",2016-09-20,21.911942,-159.528008,0.01,"Kauai","2016_KA_1604301"," ","21.91194200N","159.52800800W",583
"207",2013-06-27,21.911942,-159.527986,0.25,"Kauai","2013_KA_1302817"," ","21.91194200N","159.52798600W",584
"208",2013-09-15,21.911942,-159.527986,0.01,"Kauai","2013_KA_1304106"," ","21.91194200N","159.52798600W",585
"209",2013-10-14,21.911942,-159.527986,0,"Kauai","2013_KA_1304528"," ","21.91194200N","159.52798600W",586
"210",2015-04-26,21.932359,-159.527814,0.5,"Kauai","2015_KA_1501997"," ","21.93235900N","159.52781400W",587
"211",2020-09-01,21.92556553,-159.52725,0.01,"Kauai","2020_KA_2003900"," ","21.92556553N","159.52725000W",588
"212",2014-03-14,21.91839,-159.526484,0.01,"Kauai","2014_KA_1401242"," ","21.91839000N","159.52648400W",589
"213",2012-08-15,21.918358,-159.526484,0.1,"Kauai","2012_KA_1203428"," ","21.91835800N","159.52648400W",590
"214",2019-06-14,21.93482438,-159.5264106,0.04,"Kauai","2019_KA_1903072"," ","21.93482438N","159.52641063W",591
"215",2006-05-19,21.9111137,-159.5261841,0.1,"Kauai","KA100","Kauai County","21.91111370N","159.52618410W",593
"216",2017-04-18,21.930943,-159.526137,0.25,"Kauai","2017_KA_1701946"," ","21.93094300N","159.52613700W",594
"217",2019-04-19,21.93334414,-159.5258514,0.25,"Kauai","2019_KA_1902039"," ","21.93334414N","159.52585135W",595
"218",2005-12-24,21.9297943,-159.5258026,0.1,"Kauai","KA101","Kauai County","21.92979430N","159.52580260W",596
"219",2019-04-11,21.91873,-159.524777,0.01,"Kauai","2019_KA_1901897"," ","21.91873000N","159.52477700W",597
"220",2005-04-10,21.90275,-159.5247498,0.2,"Kauai","KA102","Kauai County","21.90275000N","159.52474980W",598
"221",2007-06-02,21.9113693,-159.5244751,0.5,"Kauai","KA103","Kauai County","21.91136930N","159.52447510W",599
"222",2009-07-01,21.9043026,-159.5233917,0.1,"Kauai","KA105","Kauai County","21.90430260N","159.52339170W",600
"223",2007-07-04,21.9276581,-159.5231323,0.1,"Kauai","KA504","Kauai County","21.92765810N","159.52313230W",601
"224",2013-02-27,21.92293271,-159.5223666,0.01,"Kauai","2013_KA_1300948"," ","21.92293271N","159.52236656W",602
"225",2019-07-03,21.91848323,-159.5217716,0.01,"Kauai","2019_KA_1903429"," ","21.91848323N","159.52177162W",603
"226",2020-07-17,21.941294,-159.52175,0.01,"Kauai","2020_KA_2003217"," ","21.94129400N","159.52175000W",604
"227",2020-07-18,21.941294,-159.52175,0.01,"Kauai","2020_KA_2003236"," ","21.94129400N","159.52175000W",605
"228",2018-04-03,21.966662,-159.5213,0.01,"Kauai","2018_KA_1801684"," ","21.96666200N","159.52130000W",606
"229",2015-02-18,21.943008,-159.520964,0.01,"Kauai","2015_KA_1500896"," ","21.94300800N","159.52096400W",607
